x,2123,2141,2187,2478,2662,2708,3363,3385,3902,4114,4211,5311,5394,5426,5453,9703,11683,57469,60198,60699,71384,123631,176871,208908,216326,354624,387447,444795,644241,3062316,6450551,11525740,11626560,25126798,42611257
DDR1,1.30175,1.3991635,5.2881002,0.50075,0.9164438,1.46505,-0.09020001,0.724299,-1.0286276,4.1772003,0.52514994,-2.1118739,0.12376545,0.10252783,0.35375,-0.03545001,2.8366992,-0.22840309,-0.77156335,3.5982,0.75584865,-0.3267116,1.1606259,-0.88261044,0.26327217,0.68195,0.023840845,0.2448,0.68173575,1.143,-0.4675,-1.0781752,0.3877694,0.4992861,-0.19472136
PAX8,-0.3721,1.0700033,0.09355,0.134,-0.27631065,0.31735,0.493,0.123134345,-0.65290284,0.55125,0.62695,-0.6205641,0.35878128,-0.2712643,-0.6135,-0.50255,-0.79925203,0.28290737,-0.34213507,1.9998338,-1.2067083,-0.6154642,-0.2898358,0.00805033,0.35261038,-1.25515,-0.83130705,-0.23089999,-1.1094357,0.9101,-0.64280003,-0.32448485,-0.002656475,-0.8146049,-0.5195258
RPS5,1.27025,0.86641496,-0.4591,-0.07745001,-0.18551967,1.17755,0.18284997,0.5136928,-0.015962888,0.17895004,1.59975,0.1494526,1.1267078,0.48111027,1.20825,0.19829999,-2.6860104,0.50793374,0.9940047,-1.5134958,1.1466385,0.752898,0.23196462,0.7146227,0.6537547,0.13389999,0.18283719,-0.16994998,-1.6966965,0.316,-0.32355,-0.24323776,-0.3199926,1.1360581,0.6543673
ABCF1,1.0195,0.97182,1.5376999,-0.085499994,0.6536338,0.4023,1.0643001,1.2076797,-0.9797254,-1.52265,-1.3113999,1.1764649,1.2608869,-0.6442892,2.1908998,-1.6236,2.8027878,-1.1088501,-0.37800848,-0.054565474,0.18091011,0.7783085,0.48634225,-2.8365564,-0.88686645,0.69844997,2.049625,-0.09924999,1.6207614,-1.3213,0.8578,-0.7875165,0.5020805,0.9143198,-0.20746703
SPAG7,-0.6317,0.2761852,-1.0529001,-1.6152999,-0.34333205,-0.752,-0.7492,-0.40475896,-1.0020306,-3.1075,1.385,-10.0,-0.47528714,0.14789921,-0.6304,0.61975,2.725679,0.52724075,0.64234364,1.0650693,0.54844654,-1.1349903,0.6614022,0.4241106,0.08530533,-0.52629995,0.000244662,0.38765,-0.5522853,1.6675,0.6052,0.39036477,0.3176081,-1.491992,0.1758772
RHOA,-1.5862,-1.0147915,0.0756,-0.42255002,-0.6176337,-1.44365,-0.74185,-0.3416277,0.098220915,-2.6573,0.04525,6.7402,-0.9950795,0.3594542,-0.2772,0.64,2.7511284,0.10591957,1.077433,-3.606923,-0.002244781,0.37769094,-0.6406386,-0.47631642,0.4289013,0.9303,-1.3241531,1.0827501,-2.335077,-0.0396,0.0214,0.24063261,0.23325935,1.6307929,-1.7960733
RNPS1,1.25745,-0.4716501,-1.9920499,-0.3367,0.63122696,-0.1963,1.13315,0.17698818,1.6363064,-0.40850002,-0.49770004,2.0364754,-0.5451829,0.5764754,-0.1988,0.1732,-4.3903584,0.60740566,1.1161325,0.94035625,1.3618565,-0.04575058,-1.9417264,0.9850409,-1.3340837,0.00274998,-0.551353,3.11095,-0.5738904,0.7348,0.41500002,-0.5838193,0.60270697,0.1256773,-0.34798935
SMNDC1,0.54175,0.42919135,-0.24004996,0.4809,0.90107715,-0.32015002,0.27635002,1.3960872,-0.22037528,0.69285,-0.22320002,-1.8369222,0.7916149,-0.86937374,-0.63215,-0.6388,-0.09090965,0.13573903,-0.34692,-0.6312272,0.60991716,1.1099406,0.34804016,0.46827683,0.26245832,1.43905,2.4078836,-1.32935,1.4676211,0.0,0.81395,-0.54920703,3.1283915,5.5237966,-0.9688763
ATP6V0B,-0.57635,-0.9692626,0.28425,-1.1159,-0.9283965,-0.07585,0.58015,-0.4934711,-0.11023238,-0.545,-0.2651,3.3015423,-0.09777671,0.07286297,-0.2568,0.77320004,0.079446405,0.23969579,-0.24995446,0.9229914,0.29423055,0.001883969,-0.7712969,0.47626954,0.1811594,-0.52195,2.4482584,-0.7899,0.42935395,-1.3421,-0.45665002,-0.42743182,0.11177157,-0.30535,-1.3399794
RPS6,0.0,-0.02919142,0.0,0.0,0.4730387,-0.00065,0.0007,0.25281912,0.3681028,1.1628,-0.0455,-1.9424728,0.24055834,-0.115315996,0.00135,-0.001,-0.8886986,0.14480951,0.06781316,-0.27144203,0.47429097,-0.46529472,0.063628286,0.3930818,0.24504709,0.3366,-0.8084628,0.69975,-1.3131576,-0.0013,0.0,0.56090224,-0.6919585,0.35458472,0.12066032
USP22,0.19105,-1.7599843,0.74365,0.34125,-0.63859415,-0.47410002,-0.55005,-1.5704968,1.0552012,-0.8598,-0.99015,-2.3744652,-0.3432557,0.026905373,-1.27405,1.043,-1.3605747,0.46071666,-0.122253165,1.0226002,0.4924004,0.28637972,-0.31642306,1.0259023,0.5126757,0.5679,-2.3309608,-0.8778,1.3545651,-1.2697,0.80509996,0.53118277,0.35030374,0.22719774,0.42987454
APP,1.00125,1.1621778,0.41335,1.09725,-0.8058317,0.74315,0.37434998,0.3480015,-0.9570703,1.84045,-0.4648,-0.06617719,1.1040105,-0.7052945,-0.2121,-1.3896999,-0.060553394,-1.660306,-0.637948,-1.5711153,-1.0654968,1.0269037,-0.035004884,0.045473903,-0.6181052,0.7778,1.2081368,-0.72335,-0.20924592,-0.5555,-0.111650005,-1.5474977,0.009729587,-1.6239709,1.1479245
CLTC,-0.74025,-1.766627,0.63145,-1.1069,-0.101846635,-0.24835001,0.8549,-0.85559165,0.055783674,-0.938,-0.27115,1.7641519,-0.74398464,0.52897304,-0.39319998,0.3892,1.4810841,0.24462134,0.4686353,-1.0321003,-0.09125814,-0.12193651,-0.057338312,-0.059585452,-0.3334382,0.59975004,2.0009518,0.43915,0.100563854,-1.1463,-0.22455001,0.35755402,0.9321482,1.0203483,-1.1274974
MLEC,-1.3055999,-2.666212,0.54254997,-1.26225,-0.46717548,-1.1364,-0.41225004,-0.83597624,0.82058895,1.5086,-0.89045,2.6635187,-0.15307936,0.25992423,0.118949994,0.7084,1.1035256,0.835194,-0.09849318,3.2471323,0.3339222,-0.20211497,-1.3182517,0.23974203,-1.2875793,-0.12600002,-1.0829185,2.0204,0.38715357,0.3455,0.71465,0.2154661,-1.351195,-0.23772475,0.21643314
CSRP1,-0.0007,-3.2028906,0.004500032,-0.1531,-0.56873554,0.0003,-5.00065,-1.933105,0.4026719,-1.55145,-0.7315,1.4181309,-1.1105794,-1.0060389,-0.5693,0.00405,1.0092967,-0.041668773,1.0427126,-0.07032102,0.40085942,0.000517002,-0.8433674,0.25718918,-2.579923,0.2561,-0.9281816,2.00205,3.9779086,-1.697,-0.18349999,-2.2083762,0.38051295,1.1433543,-1.0950723
CALM3,0.056549996,1.1491745,-0.19455001,0.83945,0.5781486,0.99004996,-0.24254999,1.0515044,-0.63181096,1.8933501,0.80834997,1.9290755,0.8122872,-0.78563476,-0.06685,-1.3188,0.66517097,1.1240476,-0.22770925,0.78647137,-0.25447604,-0.8413948,0.94735616,-0.76278317,-0.40884206,0.742,1.0946672,-0.37655002,-0.18323703,1.2038,-0.5988,-0.5773596,-0.043888316,-0.1768544,-0.36843717
