HSPD1,-0.1357158,-4.3774,0.87380016,-1.7120937,-0.088475145,-0.38740522,5.702673,-0.1444629,0.3481072,0.033971906,-0.09312159,-0.8634881,-0.6568911
CIRBP,0.39224622,0.1358,0.10739571,0.70041704,0.73245895,0.24049932,-1.4135964,-1.2339052,0.6279236,0.1367561,2.3469348,0.06551021,-0.60445786
PSME1,0.3481557,-2.068,-0.24105445,0.12907793,0.9614969,1.1403676,-3.771704,-0.89646876,0.24439897,-0.15683669,0.79097426,-0.8038251,-0.33527464
PAFAH1B1,0.068691835,2.301,-0.35999012,-0.84038055,0.24673858,-0.02614319,1.1739686,0.869418,-0.7912653,0.6075191,0.2476786,0.5414485,0.6431489
HYOU1,-0.874372,1.1901,-2.6815357,-0.8703162,0.6389897,-0.2843791,1.8573656,0.6541568,-1.0181926,0.8189298,-0.9269703,0.44722104,0.57273465
PSMD2,0.6764501,1.1731,0.7292001,-0.13297991,0.7816793,0.036307834,3.750196,-0.119916216,-0.9549293,0.24321859,-0.23167932,-0.42870107,-0.8325739
EPRS,0.25497544,0.5355,0.45159045,-1.1016845,-0.07480465,0.41614467,-0.19030705,0.37599146,-0.062475424,-0.38815078,-0.85535175,-0.48813975,-1.2730436
PSMD4,-0.500577,3.8579,0.7129529,1.1483696,-1.0251671,-1.1312693,2.8513246,0.11658406,0.21318711,-0.7667207,0.47023824,0.10878022,-1.0622613
PGAM1,-1.0113263,-3.3836,1.9907222,0.21046306,0.065208234,0.24356729,-0.8093059,1.1915528,0.13921273,-0.45557463,-1.9132645,-0.2544684,-0.4175112
STAT1,-0.09325482,2.6847,-1.3731045,0.4964053,0.076841265,-0.309852,-1.2101805,-0.33950174,-0.06541921,0.040750943,0.5546502,0.14011642,0.32930273
FKBP4,0.16003627,0.352,-0.13383944,-0.8883036,0.000865005,-0.7472994,0.47326654,-1.9430552,-0.19700491,1.2562187,-0.11241765,-0.51044786,0.037041545
KTN1,-0.41215178,2.9428,1.1634936,-1.1291527,0.32038158,-0.7552249,3.6378782,-0.92843795,-0.599242,0.26032054,0.7740686,-0.5421026,0.99756384
TMED10,-0.87234604,-0.7687,0.38631427,2.267193,0.19645217,0.052048028,0.55864936,0.25211054,-0.30380934,-1.7848436,-0.2464174,-0.6005644,-0.53167653
ALDOA,0.19127771,6.532,1.0913675,0.61197317,0.014358532,0.63329643,2.4220407,0.087416336,0.10131562,-0.582797,-0.91374826,-0.69501626,-0.9917473
TSPAN3,-0.30076107,2.2991,1.3666209,0.07787826,0.5482812,1.0708907,-0.7743459,0.13201363,0.45699292,-0.8612396,0.42217568,-0.11706282,-0.2133272
GNAS,-0.7026636,-9.6599,0.34047607,0.49581286,2.200639,0.46306846,-0.25503242,-0.44222325,0.61410046,-0.8345671,0.77038985,-2.8200762,-1.3720806
HIF1A,-1.394974,-6.4463,-1.456387,0.15389332,-0.013080485,0.48829365,-0.6776942,0.11859521,-0.04774104,-0.6745939,-0.47999138,1.1692443,0.77342474
AARS,0.17166029,-2.8644,1.1950247,-0.33964214,-0.31912977,0.1338799,1.5900372,0.729594,-0.31873897,-0.5348345,-1.0979857,-0.2494159,0.22576112
RPN1,-0.21701273,-5.8492,-0.6405213,1.3369939,0.30583078,0.4919358,-0.28344655,-1.0006096,-0.10182193,0.20640737,-0.15226698,-0.8186481,-1.8034708
PAICS,0.22078335,-4.9647,1.4417853,-0.76255345,0.24117815,0.022855887,-1.7277673,0.94909525,0.7099537,0.009518664,-1.5321739,-0.0942004,-0.8599727
