TMED10,0.1177146,0.15722603,-0.52589476,0.53572786,-1.7930076,-2.344054,1.1477492,1.2790407,-0.21810551
ALDOA,-0.83577245,0.8275986,0.811924,0.55329514,-1.1468848,-0.2476498,1.2112682,0.3054273,-1.5607378
TSPAN3,-1.8331037,0.23846549,0.6214993,0.92349285,-1.5417427,-0.4663459,1.3181942,0.90106106,-1.3324513
GNAS,-1.3950698,-1.9856763,0.5625925,0.67934006,-1.537484,-1.3525589,1.0604227,-0.1682624,-1.6546042
HIF1A,-0.46843845,0.047801197,0.002355451,0.018905884,0.038826346,0.001997863,-1.3346202,-0.5918369,-0.6892489
AARS,-0.16053939,0.54116166,1.318705,2.3252258,-0.26933694,-1.0925927,-0.899733,-0.19133636,-0.92319435
RPN1,-0.000565146,0.76642066,0.001632675,0.0007,-0.8332303,-0.001703923,-0.000440237,0.17263018,-1.2075682
PAICS,-0.598553,-0.5018183,-0.40241075,0.7668972,-0.018774033,1.2929442,0.013129041,-0.32482132,0.8318956
BLCAP,0.5668586,-1.3456492,-1.6051716,0.85011196,-0.80649227,-1.4487411,0.30254683,1.0392306,-0.607416
HADH,0.5094641,0.57880896,-2.9519215,0.01994452,0.30299383,-0.34607434,0.21233481,0.28703552,0.038593493
GNAI2,-0.8642465,1.0319035,1.2282838,0.6177899,-0.91955745,-2.8867505,0.5454324,0.275141,-1.0500464
PSMF1,1.1322457,0.33864522,0.53476727,-0.95655334,1.146537,0.37438306,-1.36482,-0.24128991,1.7077217
MYL9,-0.6996208,-0.6493827,-3.35e-05,0.015726537,-1.5255579,-2.6376562,0.2266127,-0.4445119,-2.5363762
MMP2,-0.5247874,1.6590331,0.06530892,-0.4835566,2.0742598,1.5107028,-1.2571862,-0.27802172,-1.9981556
SMARCC1,-0.20782867,-0.6508713,0.33071232,0.6025866,-1.0821617,-1.4153908,1.0171576,0.37281987,-1.1352181
TM9SF2,-1.2258977,-0.2310603,0.41284513,0.8936859,-0.41966817,-1.2190828,0.55212605,0.28102353,-2.9428453
PIP4K2B,0.036208034,0.11006707,0.8144063,0.6191473,-1.335345,-0.8466356,0.81454635,0.106708586,-0.6176735
PXN,1.8792336,-1.5760462,-0.15531993,-0.40426224,1.0262432,-0.31153432,-0.9389649,-0.9619115,1.108808
COPB2,-1.4340532,-0.45145553,0.57187307,1.03492,-0.99261516,-1.1183201,0.6573752,-0.51933074,-1.2166389
PFKL,-0.44861487,1.2938398,0.022428505,1.5214176,-0.8352034,-0.5297659,0.99968123,0.034551203,-1.2899665
PGRMC1,-1.2669388,-0.4983688,0.69153625,0.32660604,-2.2790744,-1.2815186,1.389488,0.44736004,-1.1019586
ITGB5,-2.1741507,-0.3327517,0.1675459,0.69560367,-2.764247,-3.952666,0.634534,0.015368039,-2.877172
PLP2,0.14256829,-0.65539956,0.000714429,-0.39300004,-0.8103865,-1.0558875,0.9088005,1.170964,0.60863525
NFE2L2,1.002324,0.9267854,0.18230881,-0.6342086,1.1787882,1.7289629,-0.95129097,-0.85237235,3.241352
MBNL1,-0.44222325,-1.2229698,0.086085066,0.7736338,-2.6533468,-0.9599385,1.1074193,-0.38360754,-1.1066045
NMT1,0.89665395,0.22157794,-0.8468014,-1.0908878,0.5147878,1.0384536,-1.3479421,-1.0138257,1.1220989
BHLHE40,0.17423356,1.3835272,1.1787167,-0.47177958,-0.41550577,-0.652188,-0.13478406,0.090404674,-0.6299399
TERF2IP,0.14361338,0.9792369,-0.19281101,-0.87586266,0.08526165,0.8796463,-0.492508,-0.25319922,-0.28154117
FBXO7,-0.49949574,1.0833166,1.2402363,-0.6366903,-2.4859505,-1.2084949,0.9650377,0.17221187,-0.13605821
HTRA1,-0.004522517,0.4399149,0.55993783,0.15401644,-1.4006416,1.2064445,0.92073256,-0.59763193,-1.0641899
LRPAP1,-1.025913,1.1234945,-1.5038781,-0.49001616,-1.694879,-1.378238,0.39303616,0.67268574,-2.071181
CREG1,0.54362667,2.644881,-0.48053426,0.21014649,0.08171888,0.21459955,-0.12657982,0.17005567,0.5311337
PCNA,-0.001509767,-3.2129025,-0.001210362,0.001558929,-1.1538752,-3.1151068,0.002930785,0.6657711,0.87515485
LGMN,-1.6391795,-0.67613053,-1.0326486,-0.9795123,-0.91995686,-1.1691917,1.7896549,0.5154489,-1.6005032
ILK,0.4398908,0.43751872,-0.33308363,-0.11933783,-1.093126,-0.9902316,1.4735069,-0.100179836,-0.77678
ATP1B1,-0.8118608,-3.8837125,-0.6023633,0.10916666,-1.4900221,-1.2660959,1.5432644,-0.006358992,0.009221911
SYPL1,0.41582853,0.25890875,0.19046842,0.82150286,-0.6620996,-0.6095363,1.3002578,0.41015267,-1.096043
TXNRD1,-0.33568975,0.15852825,0.03725335,0.8120374,-0.63615626,-0.35792908,0.9536035,-0.11745837,-0.7473848
NUDCD3,-1.6504083,-0.7182696,0.36682877,1.6305519,-1.8120335,-1.2159154,1.0674883,0.45626044,-5.383662
TOP2A,0.056156453,-1.1892244,0.41065168,0.31848288,-0.8653193,-0.22671586,-0.19307044,0.48589686,-0.96295977
STK25,-1.2028238,1.0123483,0.018807858,0.82509047,-1.0946794,0.19789442,-0.072619796,-0.39405376,-1.2986599
EBNA1BP2,-1.1719958,-1.4094799,1.1295924,0.65617394,-1.9299755,-0.7659558,1.6843667,0.8306287,-2.925539
ARHGEF12,-0.58802587,0.5793849,-0.29870003,0.50494105,0.98248386,0.38648778,-0.40265623,-0.1832204,-0.79067016
SCP2,-1.0391634,-0.07843763,1.4505541,0.7557992,-1.040479,-1.0623102,2.388679,0.6114767,-1.2711473
YME1L1,-0.7645053,-0.77176917,0.46156693,0.91549414,-2.9429257,-0.6685368,0.33160752,-0.012983859,-0.5746955
TMEM109,-0.792706,-1.095159,0.815112,0.6313576,-1.7731748,-2.1672127,0.82434976,0.47511226,-1.3659564
TPD52L2,-0.65547323,1.0106785,0.7044156,-0.7290492,0.558673,-0.5266371,-0.79161364,1.1484765,-0.5174302
CRTAP,-0.67878246,0.8239708,0.8036708,0.8849748,-1.6531827,-0.73299533,0.10365957,0.63359565,-2.1431072
TRAP1,-0.44170848,-2.4391024,0.17330788,-1.283708,1.44263,2.036772,-0.81664914,-0.26097074,1.8656222
IGF2R,0.64657,0.83603257,-0.23014294,-0.98693365,0.028431183,-0.12059601,-1.0608028,-1.2577882,0.98524654
PHGDH,-1.5012972,0.9789222,0.42215025,1.1883888,-0.9844187,0.28657907,0.4602661,0.6960974,-1.2647803
LRP10,-0.8012525,1.1845324,0.8049591,0.1534703,-1.4409264,-1.079705,0.54779804,0.21334407,-1.864929
SOX4,0.020513766,2.6389375,0.36156484,-0.38826498,-0.6844755,-0.14459199,-0.088482946,0.22507219,-0.6216294
CAT,0.6790426,0.67198473,-0.07189356,-1.1362731,0.33309704,1.0431587,-1.1763325,-1.0216362,0.70149976
RHEB,-0.6918453,-1.6738211,-0.5449114,0.069741055,-0.776994,-0.48850656,1.3467273,-0.089775875,-0.21945268
MAPKAPK2,-0.3312946,0.07075943,0.27474427,0.17641477,-0.62178874,-0.7793287,0.15583168,-0.23003353,-0.5366767
SCRN1,-0.8463616,-0.4935297,-0.16094331,-2.2984846,-0.2985412,-0.49400032,0.12493932,-1.3033521,0.3448698
JUN,0.37261692,-1.0954953,-1.1521367,-0.009957146,0.43313706,-0.18017897,0.5029854,0.7671637,1.0187272
SHC1,1.3359394,1.3392366,-0.23082434,-0.9600943,1.3486528,0.4054077,-0.3661238,0.4063679,1.6509285
SQSTM1,-1.5052215,2.368627,0.5880945,0.601936,-1.674362,-2.1208992,0.6686117,0.6760059,-2.2920146
PRCP,0.5544297,0.4978118,0.75781965,0.5565157,-0.5857633,-0.98486125,1.6650267,0.7416496,-0.31305003
USP7,-0.58345973,-0.4246696,1.6142943,1.5786588,-1.1309329,-1.5511391,1.1398491,-0.012004774,-1.379831
NFKBIA,-0.6331967,-0.52938306,-0.4157458,0.5729562,-3.2435007,-0.99758846,1.4165794,-0.29198384,-0.5221937
G3BP1,0.45999402,-0.30609187,0.8764837,-0.88149005,-0.09859517,-0.92393243,-1.0956132,1.0524541,-0.25266975
TOMM70A,-1.6015003,-0.37031502,-1.0625887,0.96473414,-0.2277377,-1.0850005,0.6832384,0.56133735,-0.4823137
RPA1,-1.2465999,-2.321672,0.76565427,1.693243,-1.7175821,-2.2918017,1.1225805,0.50433135,-1.7193497
ZFP36,1.4068668,0.8151142,-0.4454721,-1.204573,1.498389,0.8332712,-1.0382268,-0.8071829,2.3095407
DUSP3,-0.30392987,1.2897823,-0.9895423,0.16768591,-0.8358215,0.5487933,0.33373082,-0.105497435,-0.7444829
KDM5B,0.6705606,0.6633475,0.42636985,-0.9336215,0.2545926,1.4414318,-0.7947614,-0.62335,-0.21597303
MCM3,-1.0177938,-0.77340555,-0.33866957,-0.65621555,0.59194887,0.8869808,-1.5293795,0.3989994,0.8166673
CLIC4,-1.6034946,-0.0881619,0.39978358,-4.779789,-2.006479,-0.12882671,-0.20712787,0.05366559,-2.167769
CLSTN1,-0.25415123,1.2779012,0.19790383,0.385028,-3.557094,-1.184483,0.06303042,0.008762986,-1.1608506
ID2,-0.6512132,2.5132146,2.136721,0.5264059,3.7641892,0.49316728,2.0147786,0.16412173,-0.60560167
DCTD,0.23371467,-1.4290502,-0.24788688,1.6524174,-1.1204371,-1.8025959,1.092738,0.9485808,-0.16285554
FAT1,-1.4266188,0.019864157,1.5303626,1.1823117,-2.0708725,-1.1749587,1.2767022,-0.6799794,-0.4388913
SMC1A,1.3997445,-0.4575642,-1.3401761,-0.80386484,1.858472,0.6915563,-2.4928641,-1.0209862,1.9829305
NISCH,-0.48283467,1.14722,1.353935,-0.25533232,-0.021086134,-0.73667485,0.17040865,0.3298581,-0.5677263
PWP1,-0.6902502,0.18697895,1.548238,1.139262,1.7216626,1.1601597,1.0364091,1.8193237,0.19788082
ICMT,-1.1309946,0.040352046,2.2042544,0.59068614,-0.9412885,-1.8317752,1.703563,-0.37112474,-0.4470319
RUVBL1,-0.26739115,-0.43432927,0.5033888,1.1752965,-1.9966061,-1.0607883,1.3610628,0.86178863,-1.7950101
MBTPS1,1.5270141,0.880458,-1.2736392,0.092078835,1.1380045,1.7458421,-0.79109526,-0.4010728,3.0875397
INSIG1,-1.69839,2.3197207,1.983942,-1.4473107,-1.901113,-1.7981693,0.23257065,0.6927489,-6.7436233
RRAGA,-0.58784986,-0.30643725,0.92674863,0.20716062,-1.8205154,-2.3295226,0.4913034,-0.5733318,-0.4316701
IER3,-0.79489493,-0.14328197,-0.32716554,0.6199503,-1.0278344,-1.059147,1.751838,0.5185275,-0.42505312
UBE2L6,1.0165441,1.7162958,0.16935794,-0.55866283,-0.32853803,-2.1275954,0.27983496,0.90536666,-0.28384346
SMC4,-2.2439215,-1.8717029,0.7592728,0.75581783,-1.1711603,-3.3237917,1.6089194,0.5847339,-0.2278991
USP14,0.13946088,-0.4299179,-1.3728623,-0.35561138,2.1413279,-0.6951087,-0.39972344,-0.90780777,2.196057
EGR1,0.4645674,0.39301005,-0.9127955,-0.998237,1.2916425,1.2121056,1.0216336,0.47406203,0.38825452
PNP,-0.7129572,-1.6934929,0.58309853,0.39893818,-1.5606116,-0.65297616,0.5354906,0.23920284,-0.34335202
DNMT1,0.001554624,-1.6995189,0.29509592,0.000360151,0.65899754,-0.000238161,0.13254634,-0.7977342,0.71392083
CCND3,-0.036804825,-0.5411857,0.07980771,-2.1717203,-0.31674486,-1.5813386,0.8250324,0.7733441,-0.3536319
NIPSNAP1,-0.5966855,1.9177191,0.36533815,1.1792593,-1.1528654,-1.5641011,0.87373513,1.1331615,-1.8592217
MYBL2,1.0231462,-3.2180626,-1.2616528,-0.8127322,0.25015306,0.773172,-1.1267351,1.1651658,1.110987
EPB41L2,-1.6008105,-1.4460211,0.6372568,0.9355968,-4.215867,-1.0465633,-0.056596614,0.86775297,-1.1173911
ELAVL1,-0.30171877,-0.9847466,0.021176502,-0.13729438,-0.61686885,-0.6509301,-0.41268992,0.1333051,-0.16202761
KIAA0100,-1.1304253,0.41954514,1.3555185,0.40605813,-1.3424144,-0.6319063,0.91046727,-0.016568422,-1.2195287
TP53,-0.85199106,0.044571698,0.23673192,0.084975444,-1.3830212,-1.5998656,1.1805328,1.0762442,-1.4500424
RPA2,2.308432,-1.8394697,-1.3517027,1.3376085,0.010099694,0.36458355,2.067642,1.3089057,1.3333018
MTHFD2,-1.2802851,-1.3410162,0.64172626,4.348683,-1.6274936,-0.04912549,1.0507861,0.2961195,-2.7813978
PSME2,0.0852323,-0.8911371,-1.8340869,-0.33904195,0.08226004,-2.048683,0.12213304,1.0815246,0.25484267
