HYOU1,0.2632222,0.03882466,1.2508026,-0.8755412,-0.5451769,-0.3372262,-0.10650277,-0.5844838,0.6003959,0.3672887,2.116117
PSMD2,0.9930526,-0.04415936,-1.6904464,-0.8248507,-0.13415584,0.09023549,0.14528638,-1.0892752,2.3259227,-0.4193394,1.4090255
EPRS,-1.5369475,-0.63932455,-0.97390425,0.24285036,0.34058833,-0.9186833,1.2628192,0.45776492,0.22854519,-0.19428769,2.0026588
PSMD4,-1.07209,-0.016836561,0.89536,-0.42609346,0.28370523,0.651192,-0.06807094,0.29568845,0.15394399,-0.10282776,-0.013986319
PGAM1,-0.9137087,0.20169446,-3.327694,0.11069435,0.9383889,0.12223624,-1.683139,1.0729082,-0.27815115,0.6404122,-1.6477835
STAT1,-0.6859344,-0.022596493,-0.44162858,-0.17899968,-0.8774573,0.5991676,0.65090334,-0.23850088,1.1501682,-0.73525095,0.77860534
FKBP4,-0.041867662,-0.7128095,0.1700025,-0.4261264,-2.0225656,-1.6753967,-2.3994696,-2.4566815,-0.003857795,-0.11180261,-0.049482252
KTN1,1.6482432,-0.53102934,1.5719516,-0.66018623,-3.71e-05,-1.1946654,0.7051752,-0.34911743,-1.2493211,0.07238351,0.4658044
TMED10,-0.027283117,-0.40888447,-1.6596934,0.42082644,0.21538326,-0.6608349,-0.8149156,0.49040303,-0.52069956,0.11018714,-0.77624774
ALDOA,-2.2603576,-0.34341416,-0.71287876,-0.096083686,0.2665349,0.12142599,-0.4422407,0.46826866,-0.13058239,-0.625381,0.2526596
TSPAN3,-0.66352725,-0.27527237,-1.1979011,0.5717975,0.47640824,0.4477382,-1.0446124,0.49944076,-0.27356026,-0.076520965,-0.2966546
GNAS,-5.8547897,0.085468754,0.19802147,1.438548,0.5316657,-0.5190559,0.6447659,0.49703607,1.4401395,-1.9086491,-0.21332699
HIF1A,0.88465977,-0.9050212,0.38568798,-0.3644647,-0.8597957,0.39887837,1.1389136,-1.145421,-0.9143857,-0.7394395,1.2894144
AARS,-4.5472856,-0.8212204,0.34029335,-0.1441806,-0.23615733,-1.2226914,2.1456509,-0.04390432,-0.19024868,-0.1949458,1.4486207
RPN1,-2.7237437,1.2073023,-2.5335772,0.47871935,0.59717876,-0.39798838,-2.0765667,1.2312022,-0.38130227,0.58644223,-1.109642
PAICS,0.20349476,-0.37543535,-0.77978355,-0.37551773,-0.40017864,0.13767508,-0.1437965,0.2658596,-2.6068032,-0.6970741,0.77009624
BLCAP,-0.07656136,0.003318116,-1.1558908,0.53059846,-0.14044651,-0.31974724,-1.0085242,0.639426,2.3179357,0.98721313,-1.1214393
HADH,2.1530452,0.5010624,-1.0460346,-0.029487573,0.30768615,0.6094432,0.16261305,0.5683466,-0.9456792,-0.035353094,-2.0780847
GNAI2,-1.4648324,0.107918575,-0.5497243,0.3133888,0.000412107,-0.3005157,-0.3980596,0.4776498,4.0733213,-0.44119787,-2.7616446
PSMF1,2.079202,-0.44882667,0.7400826,-0.863126,-0.012043446,-0.8218242,0.40666932,-0.33261684,0.8856682,-0.04139915,-0.15783279
MYL9,0.2790529,0.96523553,0.14745128,-0.27781692,-0.6428565,0.435673,0.5505403,0.34627515,-0.17149976,-0.39814407,-1.0107596
MMP2,1.7739232,-0.14399353,1.550818,-0.9828795,-0.48377755,-0.5413525,0.46004063,-0.70037925,-0.040420614,-0.11682018,0.3610736
SMARCC1,-1.2624837,0.31116074,-0.081754945,0.022957504,0.52042866,-0.7578225,-0.12741035,0.8696221,-0.9374541,-0.8952761,-0.95539796
TM9SF2,-0.41846162,-0.17411321,-1.0259749,0.8037461,0.5265619,0.14125258,0.36608353,0.040795986,0.4120603,-0.30363768,0.20791423
PIP4K2B,-0.08645259,0.16935827,-0.51475596,0.802629,-0.14991869,-0.15234555,-1.2785939,0.6589853,0.25501385,0.08576365,-1.7337198
PXN,0.4458391,0.20638911,1.1354055,-0.6501907,-0.04161097,-0.29586503,0.2353602,-0.8513638,1.1118243,0.5288756,1.1360471
COPB2,-0.0787766,-0.14459127,-1.8936138,-0.19208217,0.45250326,-0.8579216,-0.7228638,0.791685,3.8986607,0.35721678,1.2021395
PFKL,0.49609426,0.5324709,-0.21592584,0.013882846,1.1847459,0.10760212,0.35985,0.92050105,-0.770077,1.7746112,-0.86443883
PGRMC1,-1.6436267,0.33102572,-2.2713208,-0.27333778,0.6811755,-0.3886682,-1.5819296,0.6210836,-0.08842401,0.48705363,-0.47756058
ITGB5,-1.0371101,0.120073766,0.6581831,-0.08862713,0.34533638,-0.86223185,0.78189796,1.0840425,-2.7551243,-0.132449,-1.4353162
PLP2,-1.0102961,0.58247954,-0.104817644,-0.22259319,-0.15560743,-0.55924785,-0.19721352,0.79588836,-0.57787734,0.44512156,-1.693275
NFE2L2,0.95782036,-0.027289335,0.35088232,-0.4212722,-0.5875517,-1.2799759,0.17737815,-0.46815085,0.09948869,0.24027115,0.7397232
MBNL1,-1.1239256,0.05175417,-0.9716165,-0.055627972,-0.06913066,0.65061945,0.037210763,0.70236385,-0.4089152,-0.95850885,0.7425335
NMT1,1.5453063,-0.15570268,0.7707147,-0.117250994,0.04335576,0.3512839,-0.3333996,-0.12966028,-1.185926,0.317999,-0.43253976
BHLHE40,-0.97562027,-0.4130331,-0.031093806,-0.2927067,0.22891994,-0.04881151,0.1268917,-0.2538606,-1.0040376,-0.46970958,0.9769604
TERF2IP,-1.1274611,0.21922278,-1.7411845,-0.037075177,0.68829846,0.22805136,-0.8900713,0.8577031,0.38441825,-0.30980948,0.2607292
FBXO7,-0.7126386,-0.41945705,-0.21170145,-0.3434421,0.8770461,0.7390057,-0.9396918,0.69250214,-1.6452818,-0.4111124,0.99863225
HTRA1,2.505818,0.1412507,0.47428042,-0.32284787,0.3905686,0.13585965,0.35439673,-0.368344,-0.27177277,-0.15482865,-0.4241272
LRPAP1,-0.8488768,0.22313191,-2.3072608,0.37040037,0.88360846,-0.40664628,-1.6954687,0.23431456,1.7596084,0.29974243,-2.5480447
CREG1,-0.62802464,0.072681725,-1.5934451,0.4197818,0.12216216,-0.06798543,-0.6088373,-0.47506872,1.529726,-0.55442065,-0.590759
PCNA,-0.7274794,0.048421565,-4.9188886,-0.50691515,-0.7382336,0.2050488,-3.7518656,0.048385706,-0.093731396,-0.26731294,-0.870543
LGMN,-1.5292823,0.9639645,-0.90612864,-0.23062354,0.39983913,-0.37614685,-0.043721154,0.5253172,1.703387,0.76833916,-0.21198834
ILK,0.2806048,-0.14047784,-0.16079071,0.033644155,-0.04650279,0.17877135,-0.19143066,0.2477911,1.3004782,-0.18353698,-1.1130767
ATP1B1,-1.4164072,0.49991304,-2.2511215,0.3341613,0.652056,-1.1606965,-2.250382,0.91575766,0.65574867,0.21390663,-1.2045112
SYPL1,-0.31546217,-0.2811883,-0.7880992,-0.31496325,0.40474415,-0.04673578,-0.20687841,0.5042691,-0.90376204,0.68666184,-1.2202748
TXNRD1,-1.176833,-0.35085216,-2.1312735,-0.12498486,-0.32965103,-0.9792905,-1.1582046,-0.54500735,1.4614737,0.13931736,3.7444532
NUDCD3,-0.8091452,0.13654998,0.06277593,-0.08581668,1.2245514,0.921288,0.57050765,0.9625286,-0.50425553,0.3830184,-0.6681399
TOP2A,0.16462173,-0.5142677,0.42830622,0.72462654,-2.8594563,0.8476746,0.19113362,-0.6633725,-1.4344611,-0.7441092,0.37013602
STK25,-3.3136432,0.67650026,-0.1912227,-0.24428074,0.59178126,0.107235394,-0.16082834,0.89872265,-0.16331531,0.7855092,-1.5397104
EBNA1BP2,-0.36127847,-0.49711695,-0.8910631,0.76837975,-1.2994943,1.4710453,-0.031078722,0.07385082,-1.4510094,-1.2601602,0.29072568
ARHGEF12,-0.325041,-0.5498718,0.42047846,-0.85950047,0.61584544,0.58058524,0.07981736,0.57773477,0.2838779,-0.7068423,0.87855536
SCP2,-0.32881814,-0.18904182,-1.1123273,-0.009527482,1.062176,0.06945799,-0.87415195,1.6386138,0.13942409,0.45680118,-0.77000654
YME1L1,0.03855408,-0.6272701,-0.66002584,0.49906838,-1.5449975,-0.49748227,0.6583624,-0.41808558,-2.0385597,-0.25571617,0.4432607
TMEM109,-1.4795651,0.77495164,-4.46065,0.47574157,1.148894,0.117583096,-1.8566821,0.7201913,-2.9266071,0.22982363,-2.0310311
TPD52L2,-0.704584,0.5618034,-0.0813279,-0.26576835,0.8302381,-1.3675523,-0.52733964,0.3245656,1.6530159,0.49218678,2.134612
CRTAP,-2.539524,0.7686637,0.5361458,0.51239395,-0.589224,1.7125134,0.99367785,-0.001452118,-1.5691118,-0.32965547,-0.61741906
TRAP1,-1.9419808,0.98331577,-0.79932076,-2.8485327,1.1155252,-0.014257208,0.6704249,0.6512338,-0.555117,0.130521,-0.62857497
IGF2R,1.5873528,-0.068229124,1.2033528,-0.27225968,-0.46827346,-0.36340505,1.1304529,-0.27827877,1.5027909,0.37213308,0.3618878
PHGDH,-0.9660498,-0.31810796,-1.7389667,0.72826964,0.5387211,-0.18839663,2.872932,0.18761814,0.5082036,-0.76734555,2.1648283
LRP10,-1.4180372,-0.20419689,1.2000002,0.08471393,-0.001787007,-0.83422935,-0.6224655,-0.03895559,1.5082161,0.22813594,-0.87768227
SOX4,-0.7146456,0.47830802,0.27466705,0.25874227,0.20647994,-1.6858114,0.36830702,0.9904663,-1.4789765,-0.29594585,-3.0432346
CAT,1.0088305,-0.41349417,-0.41186064,-0.95934427,-0.722955,1.0387111,0.23831636,0.1925135,0.18452434,-0.19550414,0.46984988
RHEB,-1.0882505,-0.2720642,-0.5281098,-0.16626254,0.59766424,-0.22619523,-0.649083,0.3071441,-0.9829228,0.8235587,1.7607684
