x,2094,2123,2141,2187,2478,2662,2708,3363,3385,3690,3902,4114,4211,5311,5394,5426,5453,9703,11683,57469,60198,60699,71384,123631,176871,208908,216326,354624,387447,444795,644241,3062316,6450551,11525740,11626560,25126798,42611257
DDR1,0.79330206,0.96156883,-0.66875,1.0526192,0.10146949,0.43489748,-0.3014495,0.377108,0.88220733,-0.30831802,0.39775002,-0.7541862,0.76890206,0.088240884,0.95595,-0.14308307,3.1528964,0.48756298,-0.5904701,-0.21954858,0.44982654,5.4438,-0.04572372,-1.27375,0.76917124,1.409625,1.188205,-0.72088885,0.35287824,-0.031214893,0.7496943,2.372051,-1.115158,-1.0596056,0.59674627,1.9277933,-0.8387721
PAX8,4.347206,3.681207,0.3805,-0.054717608,-1.4310141,-0.3712078,0.1365636,-1.2958436,-0.94958985,-0.7479378,0.91139996,-0.31306148,-0.90109646,0.6724496,0.7818,0.3629025,1.8827494,0.8569724,1.4150567,-0.2250462,-0.8758814,1.4893,-0.11145195,0.28319997,0.04133773,2.946775,-0.09604499,-0.26804277,-1.0400558,-0.060712636,1.705824,0.531344,-0.5686377,-0.18155785,-0.8817432,-0.92340547,0.30277818
RPS5,0.2535506,-0.68544203,-0.11220001,-1.5330154,-0.45990703,-0.1213111,-0.6324305,0.70505923,0.2606113,-0.26739654,-1.14935,-0.38942653,0.15681948,2.4704032,1.4562501,0.5690516,1.6949543,1.6679747,-1.4433959,0.4280463,0.8251682,-0.8543,-0.712399,-0.1422,-1.0580736,-0.978475,0.053839676,-0.28142497,-0.08798474,-0.9123933,0.06849531,-0.4271255,-2.0568874,-0.5160398,-1.1355872,0.036872208,0.3191588
ABCF1,0.035688937,1.0856007,0.5468,0.27120376,0.27918792,0.5717272,0.7515918,0.92167926,0.002695426,-0.28866714,0.4305,0.6169044,-0.3301401,0.4595925,0.6806,0.18500726,2.5989282,-1.3270495,-0.40343943,-0.048829883,-0.73115325,1.5092,-2.7623944,0.62995005,-0.9477765,0.383025,0.016391814,-0.1861075,0.5440635,1.6805855,0.83503324,0.73176014,-0.37266773,-0.19000384,-0.2506324,0.23273149,-0.7569823
SPAG7,-0.14560384,-2.0738082,-5.48975,0.21421936,0.18811387,0.6352889,0.01888603,1.366634,-0.25589716,0.30440933,-0.89545,1.1164262,-0.31156027,-7.745016,-0.06875,0.23560628,-2.0169759,1.8088455,0.56817234,-0.027319085,0.21495381,2.8525,-1.0100877,-1.3299,0.20467028,0.593175,0.73265874,-1.3490617,-0.9575969,-0.41189808,1.1859344,1.0931796,-0.33140755,0.30716538,0.07098431,-0.6943579,1.2258703
RHOA,0.18633172,-0.18420975,-3.4730499,-1.8283916,0.2018466,-0.62407213,-1.1912365,0.41992855,1.1384467,0.085516796,-0.23035002,-0.313876,-0.8455993,1.5006031,0.0817,0.6692029,-0.9240725,-1.0663279,-0.8338448,0.5131536,-0.7708748,-4.5003,-0.43167543,-0.45655,-0.8157946,0.36412498,-0.025683269,-0.45863903,0.90323865,-0.4853885,0.3950575,0.35862622,-0.9181682,-0.9718276,0.6361474,-0.17131121,-0.61873794
RNPS1,-0.9661062,0.3092595,-1.0062,-0.26443082,0.3967538,-0.60870844,-0.5125427,0.118790224,0.07828598,0.5270347,0.40244997,0.27182454,1.432404,-0.77952343,-0.19395,0.44226068,-6.0141954,-0.01582098,-1.2831827,0.45019183,-0.8910436,1.8677,0.2509623,-1.3031499,-0.52723455,-1.5034499,0.7068429,-1.3040769,-0.75956213,0.6734259,-1.3035296,0.44075358,-0.029224157,3.2014604,-0.001782902,0.6195655,0.31874606
SMNDC1,-0.38525456,0.96445036,1.7389,0.3708364,-0.012957066,0.56030643,-0.84809613,-0.13656569,0.60912025,-0.27738956,0.72345,-0.08705935,-0.4034627,0.6057928,0.10170001,-0.74663126,2.2801716,0.14248908,0.34854782,0.14709598,-0.81128126,3.8561,-0.077878736,0.88845,-0.45456824,1.55195,0.5891858,1.7039839,1.7067531,-0.40560758,0.16857594,-2.1178966,1.4290867,0.36220533,0.86167675,1.9082571,-1.2865521
ATP6V0B,0.45490324,-0.70471585,0.48070002,-1.0691477,-0.072135806,-0.50794005,-1.0269414,-2.0448565,-1.3656673,0.012018215,-0.86405,-0.47575575,0.5125779,5.2433577,-0.31054997,0.06301914,-0.97843254,-2.3245544,-0.46015266,-0.21369524,-0.37392634,3.1637,0.083710544,0.84505,-0.29884332,1.0763501,-0.7033293,1.3982241,1.7377326,-0.7782128,-2.0573654,-4.843983,0.5144462,0.7356269,-0.46696886,-0.398046,-1.4847312
RPS6,0.11996066,-0.000310928,-1.816,0.000132204,-0.003773704,0.011115125,-0.18511556,-0.003612176,0.13228527,-0.637661,0.23975,-0.09196775,-0.12074003,0.42908117,0.77295,0.075996004,-2.796168,-2.5274081,0.09980419,0.08956301,-0.7288946,1.0464,0.09744335,0.2992,-0.48610908,0.13175002,-0.2422173,0.34444916,-2.9647126,0.55658674,0.53354216,0.879766,0.22034858,0.023895025,0.9559823,-0.22580037,0.84712124
USP22,0.85834134,-0.4110602,1.6970999,0.06750861,-0.06183728,0.32199305,0.18261468,-1.6230712,0.94859695,1.0892448,-0.030550003,-0.65880054,0.90325373,-6.2738857,-0.75935,-1.663312,-2.9305673,-2.6641774,0.9895162,-0.15768038,-0.33383602,-7.6231,0.9790608,1.12635,0.2158626,-1.1171,0.016540177,-0.9846903,-1.7022916,-0.5122764,-2.4804273,-0.9296928,0.3641234,0.12637293,0.003839277,0.5710843,-0.045159504
APP,-0.6623536,-0.30078396,-0.4893,0.71846145,-0.19791473,1.0905099,0.36964318,0.9557982,-0.6093489,-0.40226763,0.4739,-0.12947905,0.8427595,0.21926068,1.6771001,-1.3605597,-1.1383703,-0.11372202,0.37398124,-0.38558364,0.56037825,2.2223,-0.17226422,0.26095,1.1355411,0.29354998,0.41452488,-0.1773859,-1.153268,0.5012411,0.9075062,-0.16555983,0.2035985,-0.02217099,-0.102576494,0.9910296,0.77941495
CLTC,0.65636384,-0.8580508,-0.5419,-1.1999546,-0.3414185,0.6147654,-0.603144,1.1886986,0.8161348,0.4100073,-1.0476,-0.5244869,-0.08286777,0.5312115,-0.22475001,-0.21216266,1.8478018,-2.7627597,-0.2774997,-0.17505354,-0.18017015,-10.0,-0.27941352,1.28345,-2.8191671,0.97012496,0.5154317,-0.9052101,3.0144672,-1.0041087,-2.1417305,-1.9430315,-0.7716427,-0.05520369,1.0295945,0.124012485,-0.65933836
MLEC,0.63389647,0.11650692,0.44,0.34021622,-0.14046454,0.54598963,1.373813,0.10113702,0.61677945,0.23224816,-0.51895,-0.7149455,0.8769118,0.27418393,-1.19515,-0.30303022,0.19606766,-1.7424521,-0.366337,-0.8908233,-1.26621,0.3157,-4.848196,-0.20709997,-0.8811774,-0.050200015,0.42821705,-0.58135676,-0.21875295,0.6209119,-0.9582208,-0.26238152,-1.1379913,-0.7910671,-2.1092029,-0.63000757,0.39606932
CSRP1,0.07058141,-0.4117121,1.2121501,-0.38790002,-0.32022607,-0.1458678,0.43375665,-0.2195926,0.26863262,0.693166,-1.2192,0.44070378,0.2070977,6.89094,-0.94595003,0.2722993,-3.6292882,-0.9947275,0.10072008,0.38591492,-0.16404179,-3.0532,0.7475422,0.31890002,-0.40236723,0.386425,0.20614272,3.8408587,-0.058389068,0.6048579,0.985863,-1.5661135,-0.4118471,-0.7331645,-0.57204545,-0.25563934,0.719841
CALM3,-0.19718808,3.0781858,-0.4267,0.59239566,-0.16783558,0.7771969,2.1848261,1.1034219,0.17978396,-0.61522293,2.65875,1.1205741,-0.15734786,1.5232949,0.0211,-0.8761338,-1.4572682,2.0778081,1.1295526,0.2589504,0.2202566,2.8327,-0.33337548,-1.5112,0.17380078,0.07034999,-0.3923903,-0.06925796,-0.083493665,-0.17274009,0.7580899,-0.4425999,0.07494789,-0.23823816,0.00229223,-0.19807886,-0.35047412
PTPRF,-0.87464553,1.726176,-0.75845003,1.7670339,0.20232776,0.68307203,1.8855863,1.0915518,-0.9276825,-1.2148348,2.08735,0.003829127,0.42572516,-0.6230356,0.94335,-0.42411453,1.0708802,2.6486526,0.5944379,0.07998443,0.28168175,3.1833,-0.018510673,-1.9230499,0.43524835,0.479875,-0.9750667,-1.1925069,-0.5223335,0.86679363,1.545014,0.3473125,-0.14610326,0.101079136,-0.7090166,-0.24470213,-0.48209435
DNAJB1,0.26168326,-0.24302685,1.0606,1.560652,-0.07622191,-0.29486674,-0.75665456,-0.33639172,-0.09581418,-0.460212,0.5819,0.7961723,0.9068081,8.233597,-0.54105,-1.5441082,1.3216673,-1.002789,0.5856479,-0.49318206,-0.21305151,1.2057,-0.03294566,0.9405,-1.2923677,0.17575,-0.6130718,-1.3390621,8.008809,0.63707256,-1.5137587,-1.3044773,-0.2683397,0.17885977,-0.69827867,-0.10663135,-0.44817227
