x,2123,2187,2478,2662,2708,3363,3902,4091,4114,4211,5311,5394,5426,5453,5743,9703,11683,36462,57469,60198,60699,71384,123631,176871,208908,216326,354624,387447,444795,644241,3062316,6450551,9826528,11525740,11626560,11960529,11977753,24748204,24856436,24964624,25126798,42611257,3690,46926350,3385,444795.0.1,2094
DDR1,0.22827499,0.11590275,0.22528034,1.4862608,-0.5189252,1.6725771,-0.38737756,1.6697005,-0.22367392,-0.7586697,-2.2200623,2.2394242,0.6166575,0.33752513,0.7092134,-0.2600639,0.44885892,0.86578315,-0.6991174,-1.3311126,-0.13930553,-0.49803132,-0.000815436,0.6036157,-0.3094291,-0.53607893,1.264455,1.1098812,1.1708832,0.3211218,-0.44024938,-0.1873112,-0.38055667,-0.050525665,0.44286597,-0.42850596,2.1506488,-0.38879597,-0.96655655,1.7233778,0.36878225,0.36711138,-0.369879899,0.884866373,-0.40757299,-0.277726173,-0.375493991
PAX8,-0.56605,0.36521712,0.31053847,1.4061017,-0.6772641,-0.21002787,-0.11356056,-0.3618987,-0.79398525,0.4444577,-1.605278,-0.20277913,0.1623859,0.73137575,1.0844718,-1.1049134,0.9104401,-0.18111078,-0.4801789,-0.092258915,-1.0844264,-0.11391483,-0.15507908,-0.9979912,-0.55869657,-0.18387058,0.24910888,-0.27174675,0.3079607,1.32701,1.23693,0.33489993,1.8021054,0.49744284,-0.01929459,-0.49657452,2.395108,-0.34748077,-1.3014222,1.6635553,-0.32151678,2.0503993,-0.573528241,-0.226181206,-0.152435642,2.07190156,-0.226543561
RPS5,-0.325175,-1.1022938,-0.1400755,-0.37675366,0.83200353,0.14093205,0.37416548,-0.6750691,0.46224713,-0.3560745,1.248605,0.009664973,-0.6804193,0.36234942,0.994056,0.18311131,0.64606667,-0.7001573,0.48558497,1.1897916,0.4250229,-0.14040591,0.002952885,-0.16121751,0.27365893,0.40599132,0.21006851,-0.14109927,-0.36104494,-1.0867283,0.20887932,-0.22440518,-0.5375511,0.023034051,0.18688425,-1.074967,0.098522305,-0.61365366,-0.48585677,-1.2459671,0.5682958,-0.42887527,-0.731498401,3.762510534,0.030253293,-0.178326786,0.081604268
ABCF1,0.29345,0.07237956,1.1479105,0.009818386,-0.1658626,-0.48412067,-0.20094317,0.9791354,0.19219305,-0.7004832,0.8151057,-0.9514568,-0.25904468,0.6852385,0.17785451,-1.0786504,0.068973795,0.9144167,0.056398526,-0.17314103,0.836744,-0.79543084,0.37340683,-0.21598038,-0.060732916,-0.4203303,0.48522976,2.6520586,0.006412488,0.8067182,-0.13433447,0.49352634,-0.23099922,-0.19345167,0.4911124,1.0079719,0.84179145,-0.5062811,0.66808045,-0.2862847,0.9415282,1.0209833,-0.028069074,0.260452786,-0.686047301,0.318349719,0.070748458
SPAG7,-0.732575,0.46955422,-0.5301439,0.053763136,-1.905325,0.4493047,-0.48662874,0.35533214,0.96091557,-3.5218592,-3.0121784,-0.22992194,0.051219694,-1.0854553,0.046403617,0.3673405,0.06806235,0.17605306,-0.5650913,-0.8048279,-0.3389461,-1.001505,-0.67120457,-0.5766213,-0.050120395,-0.19169034,-0.3772446,1.0282971,0.6503232,-0.4167806,0.5921693,-0.592261,-0.93805045,0.3133477,0.32136124,-0.7032156,1.3544493,0.078805104,1.0137362,1.1219466,-1.0189233,1.6941845,0.179692712,1.03848884,0.223609143,-0.673934162,-0.007406959
RHOA,-0.10694999,-1.1285431,-0.39413497,0.4196408,0.60305893,-0.9853967,-0.028434277,-1.2603042,-0.2221925,0.7616932,-1.4111457,1.1474314,0.048551034,1.1801885,-0.06579575,-1.098022,0.4008559,0.1148151,-0.38429588,0.80101514,0.9231455,-0.086334735,-0.93221897,-0.59022975,0.83063763,0.15462777,1.1923257,0.292222,0.6248511,-1.2443259,0.1457045,0.24300046,-0.008953959,-0.39263606,1.2508698,0.10399086,-1.2855563,-0.096939094,-1.5578558,-1.3331085,0.83220243,-2.6862483,-0.869793614,-2.043370201,0.048354601,0.572472155,0.194111255
RNPS1,1.31845,1.6968076,-1.3796133,0.4779337,3.5640888,1.0370264,0.13305338,-0.8600731,-0.27161026,0.21790941,-2.1169224,0.47350407,0.5194571,1.0398235,0.22821254,-0.09065762,-0.52740055,-0.18035337,-0.056401283,0.823852,-1.1580459,0.43022266,-0.3878429,-0.16944306,0.20690078,0.085381985,-1.0918142,-1.1721926,-0.7899805,-2.228724,-0.28372437,-0.7439052,-1.3533171,-0.48509496,-0.21289447,1.7217734,-0.107374564,0.30807313,-1.2665316,-1.4499626,-0.2466495,-2.826405,0.740602748,1.75832171,0.321626281,0.24786143,-0.140518142
SMNDC1,-0.98072505,0.6109748,-0.7149659,-1.1028708,0.11240849,-1.4378033,0.18395075,-0.6928346,1.0427879,0.68195575,-3.4826612,-0.5273679,-0.21185315,0.41198877,-0.14389826,-0.029628724,-0.48849612,0.8649976,-0.07392703,0.8663274,-3.6224334,0.19446757,-0.82460284,-0.45657235,-0.3598954,0.036052626,1.3019279,5.9202914,-1.26052,-1.475291,-1.1616911,0.62706196,-0.20633978,-0.39145774,3.926647,0.45671335,-0.8614278,0.27515528,-1.6990215,0.049227238,2.9934597,-1.1156641,-0.805785078,-0.680731791,-0.509782202,0.101701438,0.170039994
ATP6V0B,-0.382675,-0.049395066,-1.025104,-0.206482,0.70556366,0.463623,0.48029634,-1.2160883,-0.7695189,1.4500883,2.13024,-0.5667021,-0.6820034,-0.526806,-1.0462127,-0.46427897,-0.19903527,0.20298976,-0.70433044,0.4624165,2.0632334,0.6561626,-0.8535951,-0.77192813,-1.0909703,1.0021082,0.61706245,3.5445108,-1.7058704,-0.6905637,-2.8732848,-1.2942578,-0.10966569,-0.8094169,-0.61659086,-1.0264351,-1.7147971,0.2827884,0.11910793,0.71419376,-0.11902453,-2.7411995,-0.825626853,-2.528601688,0.167792554,0.076025575,0.024566242
