x,3385,4091,5311,5394,5743,36462,208908,387447,3062316,5288382,9826528,11960529,11977753,24748204,24856436,24964624,46926350
CAPN1,-0.215020547,-0.5007587,-1.9539499,0.31798017,-0.3415516,-1.4146366,0.24163847,3.1776223,0.39299214,1.990075126,0.25664443,-0.50848913,1.3231276,0.27454543,-0.6932146,0.47540992,3.9573975
CALU,0.088954879,-0.22814204,2.5373,-0.60210484,0.3449852,-2.6959238,-1.007134,-1.4613003,-0.74476975,-0.198851401,-0.9566309,-0.27636936,-0.7306585,-0.8266839,-0.19111507,0.6477768,-0.09423506
CTSD,0.362886143,-0.7699972,5.926,-0.65863514,-0.33857128,-0.3813619,-0.3602258,3.9651768,-0.0807906,-0.797031891,0.28317526,0.18652317,1.1150129,-0.65398455,1.9868497,1.1364645,5.5830793
MAT2A,-0.038208882,-1.8203769,0.15075,0.6338289,0.018219322,-4.8308563,-0.9370773,-1.0375262,-1.6415623,-0.27340909,-2.4027302,0.074321695,0.36898464,-0.48755017,-0.4469309,0.5958897,-5.1157637
STMN1,0.029549388,-0.23499581,-10.0,0.37383348,-0.7530234,-2.095343,0.54881215,-3.6808405,1.9376261,0.133348373,1.1868479,-0.07245637,-2.6602623,-0.10782085,-3.7950358,-0.45901757,-7.8745193
ECH1,-0.03148959,0.7372778,-4.6688004,-0.21537781,-1.0855463,-0.6086629,0.3582809,-4.994175,2.703288,0.12403585,2.4256372,0.123317316,-0.68902105,-0.484712,0.1692352,1.7344899,-0.31733078
IQGAP1,0.080041838,0.7843053,2.82055,-0.10603592,-0.176632,-1.2055882,-0.44714218,2.9953706,0.2928992,-0.845275751,0.48691708,0.28169185,1.9124364,-0.24062377,-1.9054596,1.5116086,0.52304006
HSPA1A,-0.365207198,-2.7837124,7.1754503,0.17167023,0.20597146,-4.526479,-0.06292913,4.219511,-3.4717612,0.529642582,-0.45059144,-0.45760956,-2.5368056,0.5665411,-0.11469449,-1.5427618,9.566531
HSPD1,0.206578644,-2.339508,-10.0,-0.254682,0.10673748,-2.941588,-0.75457877,0.4206488,-0.9364977,0.23611287,-0.88499546,-0.10952498,-0.7779385,0.25692594,-1.8410784,-1.2961829,-1.9076858
CIRBP,-0.175256722,-2.9235,1.60665,0.6350173,-0.5373261,-0.30317956,-0.5985802,-5.045187,1.4537034,-0.106102256,0.52377987,0.14496537,2.0975173,-1.6763525,-0.19995248,0.5481701,-3.5778184
PSME1,-0.437453407,-2.5411546,0.89765,0.3208466,-0.23989575,0.47118413,0.5542325,-2.2530646,1.8654248,1.179922159,0.035742134,0.43181548,0.41142252,-0.58824694,-0.7114428,0.6126648,-1.0424209
PAFAH1B1,0.055715974,1.2372254,4.57305,-0.17182367,-0.74194205,0.22928767,-0.11346203,2.6090128,-0.000841737,0.191524805,0.31289384,0.015949085,0.093531,-0.24976833,1.4351835,0.8545609,3.5568123
HYOU1,-0.005400757,-0.61060965,3.9845,-0.2722464,-0.39979893,0.87704045,0.71240544,3.085328,2.0192478,-0.752136805,-1.1106178,0.1895751,-1.5588384,-1.2222366,1.5598488,-0.83338,3.4769444
PSMD2,-0.049255078,-0.72681594,5.05125,-0.026619941,-0.6504887,-0.14513609,-0.25404626,3.9320765,0.3087287,0.26840634,-2.5647905,0.7788671,-2.1940174,0.3929497,0.44233167,-1.471309,1.7724583
EPRS,0.433176128,-0.14898649,-2.0653,0.7359705,-0.6084384,0.018870754,-0.16606873,-0.61632043,4.625541,0.19350191,0.21928062,-0.2571268,-0.51276493,0.11557707,-2.2782948,-2.2955306,-9.333881
PSMD4,0.528394912,-1.0685054,0.0643,-0.016938314,0.06983668,-0.5066128,-0.52689123,0.0909054,0.71841186,1.182371813,0.7810804,-0.88839334,1.7098423,-0.36187893,1.2705891,-0.27269447,-6.5200562
PGAM1,-0.348096427,0.42765653,-5.65865,0.49358243,0.7824308,-4.4150434,-0.43938836,-3.2901812,-0.8808156,-0.659432057,0.779178,0.32566,-4.1859336,-0.017121911,-1.0107385,-0.3782009,-0.9573318
STAT1,-0.172269771,0.061099965,8.99095,0.6586366,-0.06588343,0.59735227,0.6005193,0.81700313,1.0843986,0.405641104,-0.9209667,0.44445714,0.51557535,0.025753297,-0.111081034,-1.4226905,-0.021055361
FKBP4,0.387379869,0.58011144,2.39975,-0.84083265,-0.11959586,0.31495157,-0.9982578,2.7143207,-1.3049121,-1.036911061,-0.4440567,0.6670104,-1.055377,0.7532888,1.2753806,0.36273926,3.7070003
KTN1,-0.040663247,0.8315071,2.9653,-0.49530852,-0.91373265,-1.999721,-0.5762012,1.9941752,0.7827089,-0.357027545,1.02105,-0.75894433,-1.4360714,0.36525533,0.3302257,-0.65248144,-4.505372
TMED10,-0.300983984,0.41670653,-0.068550006,-0.25446463,-0.25647977,-0.5747663,-0.4193855,0.061881527,0.10166401,-0.618881018,-0.11154101,-0.054438863,-0.2201177,-0.60773623,-1.2689122,-0.29138595,4.6670227
ALDOA,0.072941829,-1.3062941,5.1942,0.5330816,-0.33644325,-3.4395685,-0.42898777,-0.17884433,0.49912414,-0.340425553,-0.4427303,0.31568867,-0.3436217,-0.85903037,0.13420816,0.8266713,-1.1531725
TSPAN3,0.242573844,0.30550545,-2.3989,-0.7680161,-0.06302403,-1.9329723,-0.2560665,-3.164944,-0.41183358,1.042823078,0.56378174,-0.58860964,0.4482656,-0.53712803,-1.4554329,0.40142223,-7.449181
GNAS,0.290883327,0.31041354,-9.5373,0.7962389,-2.9044733,-2.2692068,-3.9240773,-1.2196636,-1.1547875,0.390847749,0.6766176,0.86163425,-0.6539142,-0.30541366,-0.30687577,0.24176836,-10.0
HIF1A,0.174383078,-0.96281356,0.94735,-0.44706213,0.21989474,-0.5374275,-0.7671716,-0.40737924,-1.9593756,1.525503394,-0.49274868,-0.9751918,-0.07709274,0.20210424,0.090620905,-0.5323187,2.3730946
